Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2024-10001,2023-04-13,2023-04-17,CUST-1092,Customer 93,Consumer,West,Office Supplies,Storage,Office Supplies - Storage Model 566,133.32,3,0.3,2.68
CA-2024-10002,2024-10-25,2024-10-28,CUST-1021,Customer 22,Consumer,West,Technology,Accessories,Technology - Accessories Model 485,438.54,5,0.15,61.91
CA-2024-10003,2023-09-10,2023-09-14,CUST-1088,Customer 89,Consumer,East,Office Supplies,Binders,Office Supplies - Binders Model 799,1156.11,6,0.0,302.71
CA-2024-10004,2024-07-20,2024-07-24,CUST-1063,Customer 64,Consumer,North,Office Supplies,Appliances,Office Supplies - Appliances Model 940,111.72,4,0.4,-7.11
CA-2024-10005,2023-12-12,2023-12-17,CUST-1001,Customer 2,Corporate,East,Office Supplies,Binders,Office Supplies - Binders Model 608,880.11,3,0.3,-12.43
CA-2024-10006,2024-01-23,2024-01-25,CUST-1005,Customer 6,Consumer,West,Furniture,Tables,Furniture - Tables Model 501,781.88,2,0.0,228.83
CA-2024-10007,2023-09-28,2023-10-02,CUST-1061,Customer 62,Consumer,West,Office Supplies,Appliances,Office Supplies - Appliances Model 891,639.29,4,0.15,68.79
CA-2024-10008,2023-06-06,2023-06-11,CUST-1064,Customer 65,Consumer,North,Office Supplies,Binders,Office Supplies - Binders Model 747,53.03,3,0.0,14.38
CA-2024-10009,2024-02-23,2024-02-24,CUST-1004,Customer 5,Home Office,South,Furniture,Tables,Furniture - Tables Model 300,634.6,2,0.0,150.45
CA-2024-10010,2024-07-27,2024-08-01,CUST-1098,Customer 99,Corporate,South,Technology,Phones,Technology - Phones Model 838,350.42,6,0.2,39.31
CA-2024-10011,2024-05-17,2024-05-20,CUST-1008,Customer 9,Corporate,South,Furniture,Bookcases,Furniture - Bookcases Model 790,190.53,7,0.1,33.6
CA-2024-10012,2024-04-29,2024-05-04,CUST-1014,Customer 15,Corporate,West,Technology,Copiers,Technology - Copiers Model 798,985.52,4,0.3,40.22
CA-2024-10013,2024-10-07,2024-10-11,CUST-1027,Customer 28,Consumer,West,Technology,Copiers,Technology - Copiers Model 739,1626.43,4,0.0,472.78
CA-2024-10014,2024-01-20,2024-01-21,CUST-1026,Customer 27,Consumer,West,Office Supplies,Art,Office Supplies - Art Model 458,256.12,3,0.1,36.42
CA-2024-10015,2023-08-22,2023-08-26,CUST-1023,Customer 24,Home Office,South,Furniture,Furnishings,Furniture - Furnishings Model 332,632.58,6,0.5,-65.63
CA-2024-10016,2024-05-24,2024-05-26,CUST-1002,Customer 3,Consumer,North,Technology,Copiers,Technology - Copiers Model 212,,4,0.0,445.39
